,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,-0.065123,0.027334,0.002414,-0.002374,0.006767,-0.153668,-1.186707,0.199358,0.070302,0.046243,0.286585,-0.507474,0.136126,-0.403515,1.034024,-0.573403,0.320502,-0.024149,-0.215059,0.002940,-1.064713,0.950043,-0.914395,-0.015483,-0.051903,0.004207,0.037936,0.077556
1,0.008112,-0.001316,0.024597,-0.010870,0.018831,-0.834429,0.120627,0.138018,-0.202462,0.029989,0.657200,0.081233,0.056784,0.289389,-0.051619,-0.160178,-0.286948,-0.243459,-0.234727,0.337339,-0.602710,0.298185,-0.586226,0.018556,0.021773,-0.005454,0.008534,0.011583
2,0.016038,0.045735,-0.060233,-0.037101,-0.016773,0.029004,0.482486,-0.296383,-0.558442,0.874490,0.165406,-1.082235,1.093634,-0.415236,0.260522,-0.417730,-0.143734,0.165843,0.022824,-0.086453,0.963303,-0.879090,0.513426,0.036320,-0.102229,-0.022108,0.025619,-0.054031
3,-0.086714,-0.076286,-0.018453,0.249106,-0.162819,1.301408,-0.350358,-0.308204,0.150191,0.124859,0.248919,-0.053491,-0.575099,0.516301,0.184316,-0.585617,0.973895,-0.661622,-0.170326,-0.619167,0.071199,0.324467,-1.642031,-0.161574,-0.042243,0.051536,-0.053227,0.156109
4,-0.086176,-0.251325,0.330025,0.586252,0.132761,-0.056143,-0.724988,0.103538,-0.269280,0.125954,0.679083,-0.361211,0.151809,-0.361861,-0.600459,0.635958,0.156181,0.051044,47.719140,191.057299,255.141408,202.497655,8.092130,-0.120087,0.246615,0.006803,-0.521836,0.359739
5,0.423396,1.008375,0.193473,-1.174000,0.537594,0.418274,-0.171453,0.647578,0.453370,0.425845,-0.052376,-0.093096,-0.024690,0.509457,-0.552289,-0.606174,7.545779,56.866805,171.858755,251.405939,247.492261,195.502122,42.106559,0.011217,-0.210814,0.053538,0.494614,0.125813
6,0.104882,0.463162,0.150700,0.726028,-0.477010,-0.469948,-0.258879,0.075919,-0.302588,-0.286360,-0.084081,0.218945,0.130525,-0.850362,0.191396,0.923463,103.228040,251.829673,251.655079,252.494185,49.866897,0.034325,0.498721,-0.340374,-0.698991,0.961780,-0.190750,0.100370
7,0.707119,-0.441966,0.305742,-0.491589,-0.099932,0.336572,0.297796,0.155592,-0.135878,-0.655740,-0.074934,0.209050,-0.216805,0.059838,0.742399,200.896623,252.314450,252.198787,252.247990,201.487552,51.200344,-0.342323,-0.453446,0.084266,0.723955,0.354293,-0.370423,-0.536588
8,-0.483753,0.250309,-0.613999,0.214337,0.114171,0.048212,-0.223592,-0.203393,0.018391,-0.048724,-0.134433,0.080414,-0.253663,26.642678,222.501933,252.949792,254.322056,233.650640,235.143989,252.781747,178.283943,10.264698,0.134425,-0.337944,-0.605799,-0.785186,-0.841684,0.075940
9,0.658645,-0.209928,0.564294,0.477207,-0.108248,-0.271173,0.500162,0.114351,-0.008742,0.357039,0.339398,-0.822897,45.209649,168.674056,234.045181,226.656949,134.037610,27.699454,66.205772,245.229332,252.821042,84.048241,0.385713,0.127831,0.494849,0.263275,-0.106497,-0.677680
10,-0.425044,-0.159420,-0.205583,-0.244792,0.029902,-0.111091,-0.013326,-0.219056,0.339853,-0.023111,0.153968,38.246669,228.751115,251.389480,251.348934,102.945097,0.226722,-0.306118,0.177480,186.955516,253.013207,170.979506,0.095230,0.590363,-0.855613,-0.741641,0.485444,0.383645
11,-0.671184,0.554730,0.339138,-0.071249,-0.703026,-0.215983,-0.068437,-0.255644,-0.338170,0.274243,0.187253,162.843921,252.566475,252.186051,163.546960,15.676090,-0.479199,0.005332,0.079443,63.117971,252.876877,245.765277,100.321153,-0.466146,0.598583,0.189244,0.557456,-0.063877
12,-0.871009,0.369774,-0.380594,-0.486137,0.132467,0.607343,-0.247040,-0.349450,0.585677,7.433322,203.952864,252.633056,238.640361,87.756279,0.029736,0.401422,-0.086110,0.353016,0.062185,50.725252,241.983836,252.947400,55.852811,0.481186,-0.817539,0.380918,0.102732,-0.561114
13,-0.238072,-0.359308,0.024745,0.037774,0.238194,-1.028998,0.270143,-0.256805,7.000669,150.225996,251.439624,252.136231,125.035715,0.106346,0.096895,-0.270852,0.045697,0.647230,0.288078,-0.094512,216.579017,251.366977,55.608589,0.014906,0.140904,-0.374970,-0.626448,0.462243
14,1.354554,-0.418312,0.012859,0.000842,-0.434308,0.056087,-0.135492,-0.146460,29.363221,251.215237,252.649377,163.231100,-0.027404,-0.144211,0.383017,-1.105863,0.526438,-0.238041,-0.013155,0.127012,252.733459,252.165321,93.824500,0.343272,-0.279663,-0.056360,0.155268,-0.530987
15,-0.458089,-0.217477,-0.461315,0.506765,0.317754,-0.043467,-0.121204,0.619218,228.883194,251.697566,213.880823,27.890115,-0.140493,0.130930,-0.592435,0.953425,-0.838660,0.235856,0.419027,51.179107,252.818791,251.629556,68.022767,-0.222872,0.177215,-0.419668,-0.476517,0.526851
16,0.020462,0.143246,0.145514,-1.150497,0.302804,0.707776,0.329772,175.706931,253.779431,221.777148,25.080515,-0.176868,-0.087540,0.187916,0.020690,0.416098,0.417747,-0.165603,48.176521,240.838715,254.112072,133.919442,-0.398330,0.612203,-0.486288,-0.116553,0.344030,-0.323617
17,0.115804,-0.409768,-0.486074,0.590981,-1.372552,-0.314377,82.093108,242.977434,247.181012,102.770705,-0.419376,0.964003,-0.493014,0.076120,0.241750,0.332246,6.804880,57.632981,171.734554,252.136277,221.616111,65.182536,-0.051903,-0.762632,-0.679233,-0.293410,-0.083566,0.431365
18,0.050521,-0.097854,0.316568,-0.367381,0.802078,-0.869276,146.619601,252.272133,224.317568,0.471709,-0.154853,-0.114317,0.255135,-0.291419,0.457393,-0.352958,66.555161,251.021554,252.226608,251.409459,75.962344,-0.194877,0.373982,0.389214,0.693337,-0.004546,-0.341960,-0.388416
19,-0.411059,0.153811,-0.084280,0.125173,-0.354593,0.626706,196.539195,251.670455,124.800780,0.040885,0.028849,0.133742,1.074639,-0.487351,38.447520,162.342029,241.178987,251.596923,213.508565,90.222015,0.082203,-0.194541,0.597769,-0.044404,-0.357270,-0.563953,0.272854,0.651358
20,-0.411889,0.259900,-0.019242,0.668138,0.199739,56.438274,253.219174,252.332648,63.460450,0.156333,-0.137089,13.693213,28.824733,103.738895,177.706732,253.444725,249.693542,150.124426,25.149918,-0.134385,0.264878,-0.131936,-0.152686,0.246955,-0.535556,0.075069,0.044303,-0.484241
21,0.645737,-0.387113,-0.097744,-0.377371,0.406386,94.279004,239.920839,252.167936,155.405532,168.920643,169.024612,205.869273,252.713299,252.114512,251.869893,251.350839,74.978936,0.270351,-0.239999,-0.816080,-0.019653,0.188447,-0.515665,-0.360696,0.582054,-0.158897,-0.387671,-0.096817
22,0.399095,0.496142,0.271614,0.344524,-0.107717,0.294144,196.427196,252.481044,253.013012,251.877102,251.692188,251.695903,243.996995,168.063603,130.200377,56.435922,0.559761,0.156471,0.545060,0.006630,-0.145254,0.025941,0.514249,0.259161,0.463311,-0.438792,-0.362097,0.040289
23,-0.244648,0.248378,0.405650,-0.185361,0.266616,0.021644,59.526864,189.844244,252.791137,252.045087,251.488516,150.878416,25.334025,0.353989,-0.015093,0.156034,-0.095013,-0.104488,-0.882635,-0.238279,0.374877,0.085996,-0.334693,0.155998,-0.379943,0.629835,0.551032,0.411414
24,-0.011150,0.065103,-0.042279,-0.020781,-0.044902,0.206555,-0.169567,0.900973,-1.083262,0.111319,0.381052,-0.608374,0.292125,0.004027,-0.395286,-0.590824,0.719735,-0.489595,0.218646,0.477317,0.416689,-0.580727,0.299131,0.011824,-0.139521,0.026697,0.071508,-0.017110
25,-0.003619,0.005878,0.011896,0.012823,0.011268,-0.368888,0.615424,-0.186748,0.173473,0.019831,-0.079551,-0.113102,0.122236,-0.331480,-0.168569,-0.093005,0.220595,-0.081857,-0.203001,0.424480,-0.623237,-0.144093,-0.583710,0.001227,0.021357,-0.005316,-0.016812,0.008149
26,0.046198,-0.002221,0.005741,-0.083631,0.046149,-0.204718,-0.109948,0.101779,-0.693560,0.528928,0.012630,-0.128927,-0.218833,-0.073116,0.254146,0.413188,-1.038976,0.428896,0.811914,0.033608,-0.371428,-0.370074,0.413716,0.047022,0.020451,-0.027092,0.017394,-0.036984
27,-0.021526,-0.025189,-0.044764,0.125552,-0.121542,0.595979,0.150116,0.140773,-0.556544,0.468494,-0.232176,-0.334703,-0.167429,0.125023,-0.010258,-0.400029,0.816298,-0.107735,0.399420,-0.525144,0.888873,-0.939884,-0.251030,-0.072803,-0.077664,0.019246,-0.015321,0.041128
